software,e,s,total
Muirim,[],[],0
Mydoor,[],[],0
NETUI,[],[],0
NeD Worm,[],[],0
NemesisGemina,[],[],0
NetC,[],"[882, 885]",3
NetDuke,[],[],0
Nioupale,[],[],1
Njw0rm,[],[],0
Nyetya,[],[],0
OSX.Bundlore,[],[],0
OSX.CDDS,[],[],0
OSX.DubRobber,[],[],0
OSX.Sofacy,[],[],0
OSX/Keydnap,[],[],0
OSX/MacDownloader,[],[],0
PE_URSNIF,[],[],0
PHOTO,[],[],0
PIPEDREAM,[],[],0
POISONPLUG.SHADOW,[],[],0
PSVC,[],[],0
Page,[89],[],1
Peer-to-Peer ZeuS,[],[],0
Penquin 2.0,[],[],0
Penquin_x64,[],[],0
Petrwrap,[],[],0
Pinkslipbot,[],[],0
Pirpi,[],[],0
Poison Ivy,[],[],0
PowerShell Empire,[],[],0
Powermud,[],[],0
ProjectSauron,[],[],0
Pterodo,[],[],0
Pyark,[],[],0
QBot,[],[],0
QuackBot,[],[],0
QueenOfClubs,[],[],0
Redaman,[],[],0
Retefe,[],[],0
Roarur,[],[],0
Roptimizer,[],[],0
SKID,[],[],0
SNAKEHOSE,[],[],0
SOURFACE,[],[],0
SPLM,[],[],0
SUNSHUTTLE,[],[],0
Sakurel,[],[],0
Samas,[],[],0
Sasfis,[],[],0
Scorpion,[],[],0
ScreenConnect,[],[],0
SeaDaddy,[],[],0
SeaDesk,[],[],0
Sednit,[],[],0
Sedreco,[],[],0
Seduploader,[],[],0
Sensocode,[],[],0
ShellTea,[],[],0
SigLoader,[],[],0
Sockrat,[],[],0
Sodin,[],[],0
Sodinokibi,[],[],0
Sofacy,[],[],1
SofacyCarberp,[],[],0
Sogu,[],[],0
Soldier,[],[],0
Solorigate,[],[],0
TRISIS,[],[],0
TSPY_TRICKLOAD,[],[],0
TVT,[],[],0
TadjMakhal,[],[],0
Tavdig,[],[],0
Team9,[],[],0
Terra Loader,[],[],0
Thoper,[],[],0
TinyBaron,[],[],0
Tirion,[],[],0
Token Control,[],[],0
Totbrick,[],[],0
Trinity,[],[],1
Triout,[],[],0
Trojan Manuscript,[],[],0
Trojan-SMS.AndroidOS.Smaps,[],[],0
Trojan.GTALK,[],[],0
Trojan.Killdisk,[],[],0
Trojan.Maljava,[],[],0
Trojan.Shunnael,[],[],0
Trojan.Sofacy,[],[],0
USB Stealer,[],[],0
Unrecom,[],[],0
VIPER,[],[],0
Vasa Locker,[],[],0
W32.Stuxnet,[],[],0
WCE,[],[],0
WCry,[],[],0
Wabi Music,[],[],0
WanaCry,[],[],0
WanaCrypt,[],[],0
WanaCrypt0r,[],[],0
Warzone,[],[],0
WhiteBear,[],[],0
Win32/Diskcoder.D,[],[],0
Win32/Industroyer,[],[],0
Win32/KillDisk.NBB,[],[],0
Win32/KillDisk.NBC,[],[],0
Win32/KillDisk.NBD,[],[],0
Win32/KillDisk.NBH,[],[],0
Win32/KillDisk.NBI,[],[],0
Win32/USBStealer,[],[],0
Wipbot,[],[],0
WorldCupSec,[],[],0
X-Agent,[],[],0
X-Tunnel,[],[],0
XAPS,[],[],0
Xagent,[],[],0
Zekapab,[],[],0
ZoxPNG,[],[],0
ZoxRPC,[],[],0
